calendar_quarter,formation_date,first_filing_date,filings,tickers,next_formation_date
2018Q1,2018-03-30,2018-01-03,459,459,2018-06-29
2018Q2,2018-06-29,2018-04-03,464,464,2018-09-27
2018Q3,2018-09-27,2018-07-05,459,459,2018-12-21
2018Q4,2018-12-21,2018-10-02,466,466,2019-03-29
2019Q1,2019-03-29,2019-01-02,464,464,2019-06-28
2019Q2,2019-06-28,2019-04-02,477,477,2019-09-30
2019Q3,2019-09-30,2019-07-03,471,471,2019-12-23
2019Q4,2019-12-23,2019-10-01,477,477,2020-03-31
2020Q1,2020-03-31,2020-01-03,479,479,2020-06-29
2020Q2,2020-06-29,2020-04-01,478,478,2020-09-29
2020Q3,2020-09-29,2020-07-01,479,479,2020-12-23
2020Q4,2020-12-23,2020-10-01,483,483,2021-03-31
2021Q1,2021-03-31,2021-01-05,487,487,2021-06-30
2021Q2,2021-06-30,2021-04-01,486,486,2021-09-30
2021Q3,2021-09-30,2021-07-01,484,484,2021-12-22
2021Q4,2021-12-22,2021-10-01,486,486,2022-03-31
2022Q1,2022-03-31,2022-01-03,490,490,2022-06-30
2022Q2,2022-06-30,2022-04-01,488,488,2022-09-30
2022Q3,2022-09-30,2022-07-01,485,485,2022-12-29
2022Q4,2022-12-29,2022-10-04,488,488,2023-03-30
2023Q1,2023-03-30,2023-01-04,492,492,2023-06-30
2023Q2,2023-06-30,2023-04-03,491,491,2023-09-29
2023Q3,2023-09-29,2023-07-03,485,485,2023-12-22
2023Q4,2023-12-22,2023-10-03,490,490,2024-03-29
2024Q1,2024-03-29,2024-01-03,491,491,2024-06-28
2024Q2,2024-06-28,2024-04-02,497,497,2024-09-30
2024Q3,2024-09-30,2024-07-03,490,490,2024-12-23
2024Q4,2024-12-23,2024-10-01,494,494,
